IBS0	IBS1	IBS2	maxlen
X3W4.4	0.999753380672034	0.00024661932796622	0	603263
X3W4.5	0.0141355948218929	0.985864405178107	0	170725125
X3W4.6	0.999870079879392	0.000129920120608291	0	142662
X3W4.7	0.00978287192892313	0.990217128071077	0	239895688
X3W4.8	1	0	0	0
X3W4.9	0.998835045787405	0.00116495421259509	0	1171580
X3W5.1	0.972199072518204	0.0278009274817961	0	27650797
X3W5.10	0.993738418263997	0.00626158173600326	0	5531025
X3W5.11	0.9949642899311	0.00503571006890025	0	10708773
X3W5.12	1	0	0	0
X3W5.13	0	1	0	200630847
X3W5.14	0.739748373786223	0.260251626213777	0	147965126
X3W5.15	1	0	0	0
X3W5.17	0.98269873250389	0.0173012674961103	0	30740297
X3W5.18	0.504073153726476	0.495926846273524	0	183656574
X3W5.19	0.999605070768513	0.000394929231487162	0	347051
X3W5.2	0.991423389973375	0.00857661002662516	0	8421849
X3W5.20	0.00669159358966726	0.993308406410333	0	217145298
X3W5.21	0.999899197269271	0.000100802730728544	0	222960
X3W5.22	0.0517075422306582	0.948292457769342	0	191582787
X3W5.23	1	0	0	0
X3W5.24	0.999999945958369	5.40416309362602e-08	0	133
X3W5.4	0.000396479271759166	0.550093420858468	0.449510099869773	154528089
X3W5.6	0.999317054932113	0.00068294506788732	0	979701
X3W5.7	0.986335749682392	0.0136642503176078	0	14055241
X3W5.8	1	0	0	0
X3W5.9	0.997986618738151	0.00201338126184901	0	2190948
X3W6.1	0.993903583080296	0.00609641691970364	0	3391172
X3W6.10	0	0.518005474137048	0.481994525862952	117208395
X3W6.11	0.999968290440792	3.1709559208064e-05	0	78142
X3W6.12	0.991877479837006	0.00812252016299368	0	14548838
X3W6.14	0.980346420701562	0.0196535792984381	0	33536456
X3W6.15	0.943477358500606	0.0565226414993937	0	35771075
X3W6.16	0.997031031697117	0.00296896830288293	0	2341990
X3W6.17	0.997030509573729	0.00296949042627074	0	3831785
X3W6.18	1	0	0	0
X3W6.19	0.999259660496978	0.000740339503022287	0	1351619
X3W6.2	1	0	0	0
X3W6.21	0.999746192804674	0.000253807195325844	0	625109
X3W6.22	0.00657881153110368	0.993421188468896	0	174109126
X3W6.23	1	0	0	0
X3W6.24	0.999327872459291	0.000672127540709136	0	1372939
X3W6.3	0.999956286516733	4.37134832670518e-05	0	107680
X3W6.4	1	0	0	0
X3W6.5	0.00535817513180159	0.994641824868198	0	176143195
X3W6.6	0.576058179424217	0.423941820575783	0	148137210
X3W6.7	0.999957664781991	4.2335218009426e-05	0	104347
